namespace,action,decision,scope
microsoft.directory,microsoft.directory/accessReviews/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.applications/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.directoryRoles/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.directoryRoles/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.entitlementManagement/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.groups/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.groups/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.groupsAssignableToRoles/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions.groupsAssignableToRoles/create,notAllowed,/
microsoft.directory,microsoft.directory/accessReviews/definitions.groupsAssignableToRoles/delete,notAllowed,/
microsoft.directory,microsoft.directory/accessReviews/definitions.groups/create,notAllowed,/
microsoft.directory,microsoft.directory/accessReviews/definitions.groups/delete,notAllowed,/
microsoft.directory,microsoft.directory/accessReviews/definitions/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/accessReviews/definitions/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/adminConsentRequestPolicy/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/administrativeUnits/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/administrativeUnits/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/administrativeUnits/members/read,allowed,/
microsoft.directory,microsoft.directory/administrativeUnits/members/update,notAllowed,/
microsoft.directory,microsoft.directory/administrativeUnits/members/update,notAllowed,/
microsoft.directory,microsoft.directory/administrativeUnits/standard/read,allowed,/
microsoft.directory,microsoft.directory/appConsent/appConsentRequests/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/applicationPolicies/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/applicationPolicies/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/applicationPolicies/basic/update,conditional,/
microsoft.directory,microsoft.directory/applicationPolicies/createAsOwner,allowed,/
microsoft.directory,microsoft.directory/applicationPolicies/create,notAllowed,/
microsoft.directory,microsoft.directory/applicationPolicies/delete,conditional,/
microsoft.directory,microsoft.directory/applicationPolicies/owners/read,allowed,/
microsoft.directory,microsoft.directory/applicationPolicies/owners/update,conditional,/
microsoft.directory,microsoft.directory/applicationPolicies/owners/update,conditional,/
microsoft.directory,microsoft.directory/applicationPolicies/policyAppliedTo/read,allowed,/
microsoft.directory,microsoft.directory/applicationPolicies/standard/read,allowed,/
microsoft.directory,microsoft.directory/applications.myOrganization/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/applications.myOrganization/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/applications.myOrganization/appRoles/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/audience/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/authentication/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/basic/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/credentials/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/delete,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/extensionProperties/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/extensionProperties/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/notes/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/owners/read,allowed,/
microsoft.directory,microsoft.directory/applications.myOrganization/owners/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/owners/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/permissions/update,conditional,/
microsoft.directory,microsoft.directory/applications.myOrganization/standard/read,allowed,/
microsoft.directory,microsoft.directory/applications.myOrganization/tag/update,conditional,/
microsoft.directory,microsoft.directory/applications/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/applications/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/applications/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/applications/applicationProxyAuthentication/update,notAllowed,/
microsoft.directory,microsoft.directory/applications/applicationProxy/read,notAllowed,/
microsoft.directory,microsoft.directory/applications/applicationProxySslCertificate/update,notAllowed,/
microsoft.directory,microsoft.directory/applications/applicationProxy/update,notAllowed,/
microsoft.directory,microsoft.directory/applications/applicationProxyUrlSettings/update,notAllowed,/
microsoft.directory,microsoft.directory/applications/appRoles/update,conditional,/
microsoft.directory,microsoft.directory/applications/audience/update,conditional,/
microsoft.directory,microsoft.directory/applications/authentication/update,conditional,/
microsoft.directory,microsoft.directory/applications/basic/update,conditional,/
microsoft.directory,microsoft.directory/applications/createAsOwner,allowed,/
microsoft.directory,microsoft.directory/applications/create,notAllowed,/
microsoft.directory,microsoft.directory/applications/credentials/update,conditional,/
microsoft.directory,microsoft.directory/applications/delete,conditional,/
microsoft.directory,microsoft.directory/applications/extensionProperties/update,conditional,/
microsoft.directory,microsoft.directory/applications/extensionProperties/update,conditional,/
microsoft.directory,microsoft.directory/applications/notes/update,conditional,/
microsoft.directory,microsoft.directory/applications/owners/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/applications/owners/read,allowed,/
microsoft.directory,microsoft.directory/applications/owners/update,conditional,/
microsoft.directory,microsoft.directory/applications/owners/update,conditional,/
microsoft.directory,microsoft.directory/applications/permissions/update,conditional,/
microsoft.directory,microsoft.directory/applications/policies/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/applications/policies/read,allowed,/
microsoft.directory,microsoft.directory/applications/policies/update,conditional,/
microsoft.directory,microsoft.directory/applications/restore,notAllowed,/
microsoft.directory,microsoft.directory/applications/standard/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/applications/standard/read,allowed,/
microsoft.directory,microsoft.directory/applications/synchronization/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/applications/tag/update,conditional,/
microsoft.directory,microsoft.directory/applications/verification/update,conditional,/
microsoft.directory,microsoft.directory/applicationTemplates/instantiate,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/appRoleAssignments/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/createAsOwner,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/create,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/delete,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/standard/read,notAllowed,/
